relative_path,status,expected_sha256,actual_sha256,expected_bytes,actual_bytes
INT8-INT4/flood/src/python/generate_test_data.py,pass,5d44a9733241a11df4d5e3424747c4e02fb2cd9b3f5ba48455bbfacde40d1a37,5d44a9733241a11df4d5e3424747c4e02fb2cd9b3f5ba48455bbfacde40d1a37,17583,17583
INT8-INT4/flood/src/python/maxpool_results.csv,pass,b8fb50caa76442b82455b294164597430a4af065880e855ed0c4b8353e0059dd,b8fb50caa76442b82455b294164597430a4af065880e855ed0c4b8353e0059dd,159,159
INT8-INT4/flood/src/python/test_maxpool.py,pass,1eb06588c76823435fe5051b4449f8caeb8afb6df7015971ae89f2c9a44f77a3,1eb06588c76823435fe5051b4449f8caeb8afb6df7015971ae89f2c9a44f77a3,2051,2051
INT8-INT4/flood/src/python/weights.csv,pass,42364f26b65277cb1b2a523ccbdc54906909977597bef895cd1c806817baa42b,42364f26b65277cb1b2a523ccbdc54906909977597bef895cd1c806817baa42b,5423,5423
INT8-INT4/flood/src/tmp/GenerateVerilog.scala,pass,46f59c02e46e23b333a055e76a056646350f643ee8250bfb3ccc76dfd97ff45d,46f59c02e46e23b333a055e76a056646350f643ee8250bfb3ccc76dfd97ff45d,433,433
INT8-INT4/flood/src/tmp/TestUtils.scala.scala,pass,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,1
INT8-INT4/flood/src/tmp/cluster/ClusterTest.scala,pass,97e165e664adad0cbb38bb0516ae3d6ed415f08118a28e8a090ad558e6a03002,97e165e664adad0cbb38bb0516ae3d6ed415f08118a28e8a090ad558e6a03002,22885,22885
INT8-INT4/flood/src/tmp/cluster/SystolicOutputTest.scala,pass,464c17243bd0163f9591528cb381e9a1e5227814b2541aa99bfeb08589b2e33d,464c17243bd0163f9591528cb381e9a1e5227814b2541aa99bfeb08589b2e33d,6062,6062
INT8-INT4/flood/src/tmp/core/MACArrayWithQuantization.scala,pass,cee4419fb8629c5c0885bb04f88b38ea2f94a1c92c49431d569c3d9ed57e1c51,cee4419fb8629c5c0885bb04f88b38ea2f94a1c92c49431d569c3d9ed57e1c51,11725,11725
INT8-INT4/flood/src/tmp/core/MACTreeRefine.scala,pass,1033248cf85f1b29d798939da229b0295a62d9b45d441074b3cb451b0569df95,1033248cf85f1b29d798939da229b0295a62d9b45d441074b3cb451b0569df95,14162,14162
INT8-INT4/flood/src/tmp/core/MACTreeTest.scala,pass,2a937c74f1257c1d8b9b1a637badb535b16a63017054b86826e3b0f4818fde48,2a937c74f1257c1d8b9b1a637badb535b16a63017054b86826e3b0f4818fde48,10658,10658
