mechanism,file_status,category,relative_path,source_path,base_path,bytes,keyword_hits,sim_hook,paper_use_policy
mactree,modified,rtl,rtl/e203/fab/sirv_icb1to2_bus.v,mactree\flood\rtl\e203\fab\sirv_icb1to2_bus.v,FLOOD\rtl\e203\fab\sirv_icb1to2_bus.v,14159,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/fab/sirv_icb1to8_bus.v,mactree\flood\rtl\e203\fab\sirv_icb1to8_bus.v,FLOOD\rtl\e203\fab\sirv_icb1to8_bus.v,28575,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/general/sirv_1cyc_sram_ctrl.v,mactree\flood\rtl\e203\general\sirv_1cyc_sram_ctrl.v,FLOOD\rtl\e203\general\sirv_1cyc_sram_ctrl.v,3699,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/general/sirv_gnrl_bufs.v,mactree\flood\rtl\e203\general\sirv_gnrl_bufs.v,FLOOD\rtl\e203\general\sirv_gnrl_bufs.v,15365,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/general/sirv_gnrl_dffs.v,mactree\flood\rtl\e203\general\sirv_gnrl_dffs.v,FLOOD\rtl\e203\general\sirv_gnrl_dffs.v,6294,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/general/sirv_gnrl_icbs.v,mactree\flood\rtl\e203\general\sirv_gnrl_icbs.v,FLOOD\rtl\e203\general\sirv_gnrl_icbs.v,61041,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/general/sirv_gnrl_ram.v,mactree\flood\rtl\e203\general\sirv_gnrl_ram.v,FLOOD\rtl\e203\general\sirv_gnrl_ram.v,2575,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/general/sirv_gnrl_xchecker.v,mactree\flood\rtl\e203\general\sirv_gnrl_xchecker.v,FLOOD\rtl\e203\general\sirv_gnrl_xchecker.v,1987,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/general/sirv_sim_ram.v,mactree\flood\rtl\e203\general\sirv_sim_ram.v,FLOOD\rtl\e203\general\sirv_sim_ram.v,3115,zero,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/general/sirv_sram_icb_ctrl.v,mactree\flood\rtl\e203\general\sirv_sram_icb_ctrl.v,FLOOD\rtl\e203\general\sirv_sram_icb_ctrl.v,5705,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/mems/sirv_mrom.v,mactree\flood\rtl\e203\mems\sirv_mrom.v,FLOOD\rtl\e203\mems\sirv_mrom.v,4421,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/mems/sirv_mrom_top.v,mactree\flood\rtl\e203\mems\sirv_mrom_top.v,FLOOD\rtl\e203\mems\sirv_mrom_top.v,2512,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/perips/apb_adv_timer/adv_timer_apb_if.v,mactree\flood\rtl\e203\perips\apb_adv_timer\adv_timer_apb_if.v,FLOOD\rtl\e203\perips\apb_adv_timer\adv_timer_apb_if.v,40346,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/perips/apb_adv_timer/apb_adv_timer.v,mactree\flood\rtl\e203\perips\apb_adv_timer\apb_adv_timer.v,FLOOD\rtl\e203\perips\apb_adv_timer\apb_adv_timer.v,24848,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/perips/apb_adv_timer/comparator.v,mactree\flood\rtl\e203\perips\apb_adv_timer\comparator.v,FLOOD\rtl\e203\perips\apb_adv_timer\comparator.v,5241,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/perips/apb_adv_timer/input_stage.v,mactree\flood\rtl\e203\perips\apb_adv_timer\input_stage.v,FLOOD\rtl\e203\perips\apb_adv_timer\input_stage.v,4160,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/perips/apb_adv_timer/prescaler.v,mactree\flood\rtl\e203\perips\apb_adv_timer\prescaler.v,FLOOD\rtl\e203\perips\apb_adv_timer\prescaler.v,2127,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/perips/apb_adv_timer/timer_cntrl.v,mactree\flood\rtl\e203\perips\apb_adv_timer\timer_cntrl.v,FLOOD\rtl\e203\perips\apb_adv_timer\timer_cntrl.v,2274,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
mactree,modified,rtl,rtl/e203/perips/apb_adv_timer/timer_module.v,mactree\flood\rtl\e203\perips\apb_adv_timer\timer_module.v,FLOOD\rtl\e203\perips\apb_adv_timer\timer_module.v,7982,,mac datapath compute interval and first-level adder tree activity,requires_rtl_timing_and_value_validation
