result_dir,table,workload_id,interval_rows,timeline_start,timeline_end,summary_total_key,summary_total,status,issues
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_002_op_00003,5,0,490469,system_total_cycles,490469,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_003_op_00005,5,0,490469,system_total_cycles,490469,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_004_op_00006,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_005_op_00017,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_006_op_00018,5,0,127075,system_total_cycles,127075,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_007_op_00019,5,0,127075,system_total_cycles,127075,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_008_op_00021,5,0,127075,system_total_cycles,127075,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_009_op_00022,5,0,127075,system_total_cycles,127075,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_010_op_00024,5,0,127075,system_total_cycles,127075,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_011_op_00025,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_012_op_00036,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_013_op_00037,5,0,127075,system_total_cycles,127075,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_014_op_00039,5,0,127075,system_total_cycles,127075,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_015_op_00040,5,0,251449,system_total_cycles,251449,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_016_op_00042,5,0,127075,system_total_cycles,127075,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_017_op_00043,5,0,12675,system_total_cycles,12675,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_018_op_00044,5,0,251449,system_total_cycles,251449,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_019_op_00046,5,0,127075,system_total_cycles,127075,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_020_op_00047,5,0,12675,system_total_cycles,12675,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_021_op_00048,5,0,490469,system_total_cycles,490469,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_022_op_00049,5,0,970195,system_total_cycles,970195,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_023_op_00051,5,0,490469,system_total_cycles,490469,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_024_op_00052,5,0,46693,system_total_cycles,46693,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_025_op_00053,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_026_op_00064,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_027_op_00065,5,0,970195,system_total_cycles,970195,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_028_op_00067,5,0,490469,system_total_cycles,490469,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_029_op_00068,5,0,46693,system_total_cycles,46693,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_030_op_00069,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_031_op_00080,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,conv_032_op_00081,5,0,305697,system_total_cycles,305697,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_001_op_00000,5,0,2926,system_total_cycles,2926,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_002_op_00001,5,0,11174,system_total_cycles,11174,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_003_op_00004,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_004_op_00007,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_005_op_00008,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_006_op_00009,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_007_op_00010,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_008_op_00011,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_009_op_00012,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_010_op_00013,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_011_op_00014,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_012_op_00015,5,0,107321,system_total_cycles,107321,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_013_op_00016,5,0,82643,system_total_cycles,82643,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_014_op_00020,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_015_op_00023,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_016_op_00026,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_017_op_00027,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_018_op_00028,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_019_op_00029,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_020_op_00030,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_021_op_00031,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_022_op_00032,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_023_op_00033,5,0,7687,system_total_cycles,7687,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_024_op_00034,5,0,30993,system_total_cycles,30993,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_025_op_00035,5,0,22649,system_total_cycles,22649,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_026_op_00038,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_027_op_00041,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_028_op_00045,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_029_op_00050,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_030_op_00054,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_031_op_00055,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_032_op_00056,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_033_op_00057,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_034_op_00058,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_035_op_00059,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_036_op_00060,5,0,24586,system_total_cycles,24586,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_037_op_00061,5,0,28719,system_total_cycles,28719,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_038_op_00062,5,0,107321,system_total_cycles,107321,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_039_op_00063,5,0,82643,system_total_cycles,82643,pass,
results\flood_cycle_sim_v1\synthetic_unet_trace,system_intervals,gemm_040_op_00066,5,0,3130,system_total_cycles,3130,pass,
results\flood_cycle_sim_v1\softmax_smoke,cycle_intervals,softmax_attn_4x64,4,0,140,total_cycles,140,pass,
results\flood_cycle_sim_v1\softmax_smoke,cycle_intervals,softmax_vec_128,1,0,45,total_cycles,45,pass,
results\flood_cycle_sim_v1\softmax_smoke,cycle_intervals,softmax_vec_32,1,0,30,total_cycles,30,pass,
